2019,6,5,14
2019,6,6,23
2019,6,9,13
2019,6,10,1
2019,6,13,19
2019,6,17,12
2019,6,18,18
2019,6,19,19
2019,6,21,1
2019,6,21,12
2019,6,22,13
2019,6,24,1
2019,6,25,22
2019,6,26,16
2019,6,27,23
2019,6,28,12
2019,6,29,21
2019,7,1,15
2019,7,2,18
2019,7,3,17
2019,7,4,14
2019,7,5,18
2019,7,6,19
2019,7,7,12
2019,7,8,15
2019,7,9,12
2019,7,12,3
2019,7,13,21
2019,7,15,4
2019,7,15,21
2019,7,16,22
2019,7,17,22
2019,7,18,22
2019,7,20,14
2019,7,21,18
2019,7,22,14
2019,7,23,16
2019,7,25,16
2019,7,26,14
2019,7,27,12
2019,7,28,8
2019,7,29,9
2019,7,30,11
2019,7,30,23
2019,7,31,16
2019,8,1,16
2019,8,2,19
2019,8,3,16
2019,8,4,19
2019,8,5,20
2019,8,6,9
2019,8,6,17
2019,8,7,21
2019,8,8,13
2019,8,9,8
2019,8,9,18
2019,8,10,10
2019,8,10,19
2019,8,11,18
2019,8,12,14
2019,8,13,17
2019,8,14,16
2019,8,15,13
2019,8,16,15
2019,8,17,7
2019,8,17,17
2019,8,18,11
2019,8,19,8
2019,8,20,21
2019,8,21,8
2019,8,21,17
2019,8,22,13
2019,8,23,20
2019,8,24,17
2019,8,25,17
2019,8,26,12
2019,8,28,17
2019,8,30,22
2019,8,31,23
2019,9,2,15
2019,9,3,19
2019,9,4,22
2019,9,5,20
2019,9,6,10
2019,9,9,21
2019,9,10,13
2019,9,11,14
2019,9,12,12
2019,9,14,14
2019,9,15,0
2019,9,15,19
2019,9,16,13
2019,9,18,2
2019,9,21,12
2019,9,22,18
2019,9,24,0
2019,9,24,18
2019,9,25,10
2019,9,26,19
2019,9,27,12
2019,9,28,5
2019,9,29,0
2019,9,30,17
2019,10,1,14
2019,10,6,18
2019,10,7,16
2019,10,8,13
2019,10,11,16
2019,10,20,7
2019,10,20,18
2019,10,23,18
2019,10,30,19
2019,11,4,14
2019,12,2,13
2019,12,13,17
2020,1,2,8
2020,1,3,13
2020,1,4,12
2020,1,7,17
2020,1,16,16
2020,1,19,11
2020,1,26,12
2020,2,21,14
2020,2,25,2
2020,2,25,22
2020,2,26,12
2020,3,1,10
2020,3,4,11
2020,3,5,10
2020,3,5,19
2020,3,6,12
2020,3,7,8
2020,3,13,9
2020,3,14,8
2020,3,15,11
2020,3,19,14
2020,3,22,22
2020,3,27,18
2020,4,1,5
2020,4,6,13
2020,4,8,10
2020,4,14,7
2020,4,17,16
2020,4,18,11
2020,4,20,18
2020,4,21,4
2020,4,21,14
2020,4,22,7
2020,4,23,19
2020,4,25,19
2020,4,26,12
2020,4,27,13
2020,4,29,19
2020,4,30,20
2020,5,1,18
2020,5,2,21
2020,5,3,19
2020,5,4,9
2020,5,5,10
2020,5,7,10
2020,5,8,1
2020,5,11,20
2020,5,16,16
2020,5,18,12
2020,5,21,15
2020,5,25,21
2020,5,26,8
2020,5,28,11
2020,5,29,19
2020,5,30,23
2020,5,31,17
